Time,Force_X_post,Force_Y_post,Force_Z_post
497.867,,,
497.867,,,
497.867,,,
497.867,,,
497.867,,,
497.867,,,
497.867,,,
497.867,,,
497.867,,,
497.867,,,
497.975,,,
498.408,,,
498.408,,,
498.408,,,
498.408,,,
498.492,,,
498.592,55.73840350491756,-8.137654777217001,-999.9227045710868
498.692,55.73837444055967,-7.569476489145249,-999.9245276460762
498.792,55.72851282697309,-6.788217056155482,-999.9277618910704
498.892,,,
499.6,,,
499.6,,,
499.6,,,
499.6,,,
499.6,,,
499.6,,,
499.6,,,
499.667,,,
499.767,55.70045378344077,-4.412090603189699,-999.9371514289794
499.867,55.73159691085351,-7.206716699431335,-999.92790502107
499.967,55.731517873022774,-7.191338309559197,-999.9281436324435
500.067,55.73127215149033,-7.17709558865055,-999.9285392441706
500.167,55.73155582777165,-7.164129183617029,-999.9288420155815
500.267,55.73255087439119,-7.152832621067239,-999.9289615508299
500.367,55.73363873914307,-7.143550133911533,-999.928849134605
500.467,55.73427831518453,-7.135647520234068,-999.9284591440883
500.567,55.73395074831731,-7.129081503504321,-999.9284168537725
500.667,55.71024993473949,-4.332977246446041,-999.9385796300547
500.767,,,
501.15,,,
501.15,,,
501.15,,,
501.192,,,
501.292,55.58681243745531,10.856506709138394,-999.9877941377767
501.392,55.71415410426765,-5.354321745467778,-999.9369185544132
501.492,55.73323704851077,-8.300390134538064,-999.9280392871626
501.617,55.75526350670401,-11.65589039527015,-999.918238600737
501.692,55.71561851268062,-5.618428944570306,-999.9372567334514
501.792,55.683671307204754,-0.2681007605935586,-999.9543885154967
501.892,55.7925771768222,-19.113127693078436,-999.902493703472
502.058,55.70237269561121,-3.5636382761428083,-999.9426869627509
502.092,55.56436119410084,21.127940530748216,-1000.0094957400344
502.175,55.50646366111783,32.18118460465642,-1000.0388045842832
502.275,55.70673189619599,-3.141649195181163,-999.9436229231403
502.392,55.735550756642375,-8.682114729485606,-999.9292760711945
502.492,55.73444619044046,-8.587968881917895,-999.9283080176613
502.592,55.72726691129498,-7.1948452394669475,-999.9319800484636
502.692,55.72740009583521,-7.2054198689607185,-999.9331201771485
502.792,55.72752202380564,-7.215878879059311,-999.9337402015407
502.892,55.72753701815626,-7.22618499817957,-999.9338460837721
502.992,55.718194533410035,-3.6521102854036047,-999.9435917808636
503.092,,,
503.3,,,
503.3,,,
503.375,,,
503.475,55.718421239202726,-3.2443102425201924,-999.9451742692037
503.575,55.728279048426444,-7.30138478656892,-999.9344225804062
503.675,55.72823173785223,-7.312720879548856,-999.9344950384403
503.775,55.72824173452983,-7.323817566143881,-999.9345452582771
503.875,55.72846962865389,-7.334635443441898,-999.9345620500176
503.975,55.72883599373013,-7.345233652914663,-999.9346401913767
504.075,55.72863030932568,-7.356221781800292,-999.9344145188895
504.175,55.7275082603584,-7.367653621043222,-999.933479711497
504.275,55.72622795009392,-7.378344142989647,-999.9333884525348
504.375,55.724121136290265,-7.388042311412688,-999.9356413506788
504.475,55.72028485859832,-7.398274950068235,-999.9380510500874
504.575,55.71917318959883,-7.409486920681515,-999.9378379972646
504.675,55.726149418070115,-7.420022616504079,-999.9361742452005
504.775,55.73907438390321,-7.428874831742579,-999.9355995162878
504.875,55.76063715712889,-4.106810381612715,-999.941617417046
504.975,,,
505.192,,,
505.192,,,
505.292,,,
505.408,55.75435779127078,-9.79910400839463,-999.9253340806948
505.483,55.740589129504265,-8.33763004076319,-999.9333400271125
505.608,55.72657176760929,-10.322237927352457,-999.9301923819744
505.675,55.731478532626525,-4.497837122089419,-999.9471581192653
505.775,55.73384680599282,-1.9054790341595182,-999.9546514564088
505.875,55.730738817421944,-7.516809885518684,-999.9376368236535
505.975,55.734744871677336,-7.544876082347354,-999.9360820540752
506.075,55.738709487675386,-7.568110121561591,-999.934939599594
506.175,55.74163317155043,-7.58774186322436,-999.9347058151824
506.275,55.74373235322356,-7.603630529217197,-999.9350376900536
506.375,55.74488800205128,-7.607246703191279,-999.9347972931929
506.475,55.745269403825624,-7.601175525060109,-999.9338990502462
506.575,55.74547155968722,-7.593412704319746,-999.933282752176
506.675,55.7566337675052,-5.478930413429175,-999.9374402236261
506.775,55.74181488449505,-8.917021693304365,-999.9279843271696
506.917,55.72919328679387,-12.362628702884793,-999.9195550611106
506.983,55.76735553402183,-4.9581981234878,-999.9376309749122
507.083,55.78182126215568,-2.201181034708142,-999.9437943621359
507.183,55.75539164998273,-7.540075845785896,-999.930418919482
507.283,55.76427192082234,-5.558835045683587,-999.9367396718364
507.383,55.750078304878706,-8.668114246934191,-999.929103172889
507.525,55.734778898279934,-12.095142611189344,-999.9208694455855
