time,x_position,y_position,z_position,roll_angle,pitch_angle,yaw_angle
497.867,0.0,0.0,0.0,-0.2005189570491739,3.1938999757596847,0.0
497.867,-5.277113156527958e-07,0.00010826875846343143,-3.117794549670667e-07,-0.20485960514814588,3.1939247543785063,7.425690595761439e-05
497.867,-2.1409898308104493e-06,0.00043861539677161405,-1.2637215646146022e-06,-0.20923041228299685,3.1939497887393298,0.0001483567885745871
497.867,-4.900984449798369e-06,0.0010023526808222263,-2.8894915201408376e-06,-0.21362833686456398,3.1939750655502093,0.00022229989605790433
497.867,-8.870374220437265e-06,0.0018110487878473542,-5.223556035280641e-06,-0.21805017174993746,3.1940005706701635,0.0002960864762668363
497.867,-1.4113399925474182e-05,0.002876531886113512,-8.301198473534312e-06,-0.22249253995790705,3.1940262890848814,0.00036971677671339257
497.867,-2.069589597975539e-05,0.004210894735500048,-1.2158534076597378e-05,-0.22695189036116958,3.1940522048821975,0.000443191044562777
497.867,-2.868532261798369e-05,0.005826499305748422,-1.6832525284899173e-05,-0.23142449335859025,3.194078301227365,0.000516509526633842
497.867,-3.8150798357869565e-05,0.007735981409186165,-2.236099714115716e-05,-0.23590643653098148,3.194104560338131,0.0005896724693995425
497.867,-4.916313272346914e-05,0.009952255344744398,-2.8782652767863607e-05,-0.24039362028403874,3.194130963459641,0.0006626801189873886
497.975,-6.059533207179688e-05,0.012314420534255214,-3.559129858094401e-05,-0.24471553343916175,3.1941732173550372,0.0007461354950072346
498.408,-7.012940349640654e-05,0.014488099073581773,-4.175613846530154e-05,-0.24894057017348797,3.1942203116059473,0.0008353694095085855
498.408,-7.665319938298729e-05,0.01631337992515025,-4.681235781008092e-05,-0.25323068651557123,3.1942565129896447,0.0009197826952140823
498.408,-8.024397400128231e-05,0.017804078866587074,-5.081927853295675e-05,-0.25750927025878756,3.1942927694212138,0.001004017913477558
498.408,-8.096878349087106e-05,0.018973560013768594,-5.381456147035105e-05,-0.2617724177579933,3.1943290651143514,0.001088075344335276
498.492,-7.911405538869336e-05,0.019835429661398087,-5.5860754613046926e-05,-0.2661206660356232,3.1943472948283635,0.0011652880662323599
498.592,-7.512536037167579e-05,0.020403380360059023,-5.700386491598271e-05,-0.2705684539971079,3.1943477758005394,0.0012345318365942959
498.692,-6.919129821770736e-05,0.020690052374365435,-5.7264110276316805e-05,-0.27501704307470615,3.1943480572397935,0.0013019163049068031
498.792,-6.13589318312558e-05,0.020707394750208413,-5.667521104367983e-05,-0.2794528766004755,3.1943472675431934,0.0013680951579422207
498.892,-5.1736694508604754e-05,0.020467177754911556,-5.536086949189455e-05,-0.28387005381583635,3.1943434742918795,0.0014332438157686487
499.6,-4.045444409379536e-05,0.01998080324468412,-5.3471628964009425e-05,-0.2882594696749326,3.194337666527348,0.0014977618918537803
499.6,-2.7618689726291328e-05,0.01925926468685481,-5.095604461025004e-05,-0.2926123253992722,3.1943323045099756,0.0015620450416195
499.6,-1.3288740184716252e-05,0.018313132177862224,-4.773504732472181e-05,-0.29692452098066874,3.194326959573592,0.0016261897777325868
499.6,2.486894504165503e-06,0.01715262689996635,-4.3837643728112604e-05,-0.3011936610653019,3.1943216260629055,0.0016901963209960138
499.6,1.9661275353933367e-05,0.015787653165894616,-3.929193371253145e-05,-0.30541749644096744,3.194316299165749,0.0017540648919013926
499.6,3.818899765008553e-05,0.014227804518469963,-3.41251269341438e-05,-0.30959391998204344,3.1943109748872676,0.0018177957106293846
499.6,5.802615416613829e-05,0.012482369791204427,-2.8363559238042044e-05,-0.3137209626384356,3.194305650024144,0.0018813889970501093
499.667,7.899715896876064e-05,0.010560956863377163,-2.2056948126733737e-05,-0.31776550013884075,3.194308996543712,0.0019468474672058856
499.767,0.00010079910584242167,0.008473338819863733,-1.5258288441068766e-05,-0.3217359848187918,3.1943237641604085,0.002013542003383597
499.867,0.0001232941101710016,0.006228297768206242,-7.964549056487184e-06,-0.3256659983077191,3.1943409291854703,0.0020792257611956266
499.967,0.0001464823476583119,0.003833982929411434,-1.6441812473348425e-07,-0.3295484010566906,3.194357763160826,0.0021442452624420697
500.067,0.00017030575652180453,0.0012984429989339563,8.112577579298961e-06,-0.3333813103959669,3.194375256793886,0.0022086396399454158
500.167,0.00019467087909630688,-0.0013705462451938566,1.682078978705168e-05,-0.3371636401359934,3.194395605832083,0.0022724101134750777
500.267,0.00021954840209350332,-0.004165397830846313,2.5926203561283808e-05,-0.3408900270473885,3.194417930702785,0.002335819970903318
500.367,0.00024502367390742674,-0.007078772853255807,3.5423995514281215e-05,-0.3445544558271419,3.1944360004846364,0.0023991571942683755
500.467,0.00027116735017590097,-0.010103707717312454,4.53110425257195e-05,-0.34815738842974747,3.194445560330724,0.0024623183717323613
500.567,0.00029800148678904104,-0.01323344202666136,5.564241274640869e-05,-0.35169995429276085,3.194446987005915,0.0025251839561526578
500.667,0.0003254849187938944,-0.01646139354887843,6.646373116204445e-05,-0.3551794535588638,3.1944401376484954,0.0025878779936841434
500.767,0.0003533733270504598,-0.01978136898769431,7.764523163312322e-05,-0.35859581186965234,3.1944285035230844,0.0026503811167802043
501.15,0.0003814034395712927,-0.02318738679363408,8.89897468616879e-05,-0.3619484098013393,3.194416400035798,0.002712716842121582
501.15,0.0004094871706374265,-0.0266735761844235,0.00010034657893004052,-0.36523472926978606,3.1944039794505787,0.002775015238901111
501.15,0.00043760063794185197,-0.03023439115039994,0.00011164247480029275,-0.36845600095485875,3.1943915735274957,0.002837178132732694
