time,x_position,y_position,z_position,roll_angle,pitch_angle,yaw_angle
497.867,0.0,0.0,0.0,0.0,0.0,0.0
497.867,-7.635741639603891e-07,0.00011982314269863193,-3.944467235127059e-07,-1.8532100966508712e-06,-1.2677534966174118e-05,-8.651351977347512e-09
497.867,-3.0970839013655e-06,0.0004890628514234887,-1.6022361746640512e-06,-2.6552054951231596e-06,-2.531219907353862e-05,-1.9757264571438692e-08
497.867,-7.087028899981768e-06,0.0011276238976287807,-3.672951085438474e-06,-2.3056225796448295e-06,-3.790317008802369e-05,3.443120469396538e-09
497.867,-1.2821118153103457e-05,0.0020560342005501715,-6.657220770567854e-06,-6.995463180607015e-07,-5.044962038945885e-05,1.038869454348215e-07
497.867,-2.0388021130928037e-05,0.0032953919217519746,-1.0606609745981682e-05,2.2724794269170605e-06,-6.295071695695322e-05,1.7497349929685633e-07
497.867,-2.987709197507718e-05,0.0048673032167764925,-1.5573492193691214e-05,6.724421955419139e-06,-7.540562135435634e-05,-2.035131496005745e-07
497.867,-4.1378065354172604e-05,0.006793809968590684,-2.161091147964429e-05,1.2774708463583993e-05,-8.781348971580072e-05,-1.2802812310427938e-06
497.867,-5.4980722608881733e-05,0.009097306811722957,-2.8772423919135277e-05,2.054615168965922e-05,-0.00010017347273132737,-1.3800428872109764e-06
497.867,-7.077452681011674e-05,0.011800446742542148,-3.711192597460876e-05,3.016585064237121e-05,-0.00011248471563259572,3.92677243972707e-06
497.975,-8.735033029170221e-05,0.014707760677217817,-4.600191496768896e-05,0.0002502449865880814,-0.00010498519776918262,1.8024722530243798e-05
498.408,-0.00010181045826755734,0.017405821087870088,-5.415953897879798e-05,0.0005898810709472664,-9.146071274526395e-05,3.8751435698300405e-05
498.408,-0.00011276433445783714,0.019699709325144248,-6.100958587246975e-05,0.0008407388346573294,-9.16677459532277e-05,6.084590659329421e-05
498.408,-0.0001203083943652407,0.021612533424683115,-6.663237281446984e-05,0.0010938895004712354,-9.182677951091583e-05,8.075786887856056e-05
498.408,-0.0001245275795831653,0.02316700994355244,-7.108191479970096e-05,0.0013494537132634936,-9.193693023303122e-05,9.588296770411807e-05
498.492,-0.0001257815577732272,0.024386233723158242,-7.444385254331844e-05,0.001476586482424725,-0.00011478945140333958,0.00010320571118285043
498.592,-0.00012462887175535136,0.025293392793861398,-7.67835307239216e-05,0.0014526665566605406,-0.0001600032637674061,0.00010206567688344127
498.692,-0.00012130679788230861,0.025910258512857016,-7.813429939506132e-05,0.0013974999937580272,-0.00020546540134598254,9.52841082355575e-05
498.792,-0.00011587515576565561,0.026257568969424317,-7.854644370519809e-05,0.0013241463705739196,-0.00025226205746594845,8.613972936697911e-05
498.892,-0.00010846941555869152,0.02635561350179909,-7.81824948777526e-05,0.0012362464808788115,-0.0003028223350069051,7.616868310278841e-05
499.6,-9.925061503976346e-05,0.026223943976740462,-7.723818307855077e-05,0.0011416661903844686,-0.0003558914341600902,6.57588742984464e-05
499.6,-8.834927841759772e-05,0.025881282075784353,-7.565667627896032e-05,0.0010480810678321789,-0.0004083537667320252,5.511924775389288e-05
499.6,-7.583551762163958e-05,0.025345465539800126,-7.334623092039196e-05,0.0009574423098625578,-0.0004607413628407856,4.4417648549939886e-05
499.6,-6.176439607996272e-05,0.024633513998098884,-7.03495529964286e-05,0.0008697343141148234,-0.0005130532936494758,3.365321493773482e-05
499.6,-4.6187411478336996e-05,0.023761647914765274,-6.670773961679023e-05,0.000784931103284859,-0.0005652886243577987,2.2767800044812464e-05
499.6,-2.915253365609435e-05,0.022745280692594693,-6.246024917857646e-05,0.0007029977001157636,-0.0006174464141259744,1.2069568932056217e-05
499.6,-1.0704266060322131e-05,0.02159901598281417,-5.764488166320733e-05,0.000623891456175518,-0.0006695257159988319,2.4654024572573134e-06
499.667,8.950229124145705e-06,0.02033742845349345,-5.232799753746747e-05,0.0005870182399743283,-0.0007105281214127107,-5.293632438146177e-06
499.767,2.9446733996248667e-05,0.018974868970526818,-4.657938399033012e-05,0.0005795492801931258,-0.0007369451681199826,-1.1679650276856125e-05
499.867,5.0628811276705744e-05,0.0175240081860958,-4.039825716419619e-05,0.0005570848469589688,-0.0007602036973327911,-1.8048510641931714e-05
499.967,7.251413862309692e-05,0.01599629235766826,-3.377284555333212e-05,0.000526714860267402,-0.0007837613979072422,-2.533899170844855e-05
500.067,9.504955871691544e-05,0.014402623391972385,-2.674167550465458e-05,0.0004890455024258435,-0.0008063586514678421,-3.3637742268352546e-05
500.167,0.00011813949266496173,0.0127531526318759,-1.9362736261472042e-05,0.00044381795660661325,-0.0008252018957606798,-4.261526394236549e-05
500.267,0.0001417699837339704,0.01105740041820208,-1.1678858021216335e-05,0.00039631285146373796,-0.0008414032860325428,-5.18984132035788e-05
500.367,0.0001660714919976259,0.009324196480900045,-3.695834557201226e-06,0.0003527738212741164,-0.0008628870692549893,-6.125191806138951e-05
500.467,0.0001911573254286524,0.0075615358144732695,4.583256003289329e-06,0.0003113919010303156,-0.0008950787270618938,-7.06434642159961e-05
500.567,0.00021708110626528335,0.0057768141613688505,1.3228404202633923e-05,0.0002696359945792367,-0.0009375158434482473,-8.013255695656829e-05
500.667,0.00024381833923231433,0.003976878870968909,2.2298232642136674e-05,0.0002299366175661738,-0.000990397720498535,-8.974117332262739e-05
500.767,0.0002710919059116833,0.002167782191088098,3.163309872915369e-05,0.0001915218154666211,-0.0010492904843442783,-9.945145223483256e-05
501.15,0.000298601744157815,0.0003550257914560057,4.098982479397387e-05,0.0001544218921758276,-0.0011086997616467796,-0.00010922224725997324
